,ObservationDate,Country_Region,Deaths
210,12-06-2020,India,6
211,12-06-2020,India,0
212,12-06-2020,India,1085
213,12-06-2020,India,0
214,12-06-2020,India,1385
215,12-06-2020,India,64
216,12-06-2020,India,6
217,12-06-2020,India,52
218,12-06-2020,India,8
219,12-06-2020,India,72
220,12-06-2020,India,18
221,12-06-2020,India,1
222,12-06-2020,India,431
223,12-06-2020,India,3590
224,12-06-2020,India,0
225,12-06-2020,India,1
226,12-06-2020,India,0
227,12-06-2020,India,0
228,12-06-2020,India,9
229,12-06-2020,India,2
230,12-06-2020,India,59
231,12-06-2020,India,265
232,12-06-2020,India,0
233,12-06-2020,India,349
234,12-06-2020,India,165
235,12-06-2020,India,1
236,12-06-2020,India,0
237,12-06-2020,India,345
238,12-06-2020,India,15
239,12-06-2020,India,442
240,13-06-2020,India,0
241,13-06-2020,India,80
242,13-06-2020,India,0
243,13-06-2020,India,8
244,13-06-2020,India,36
245,13-06-2020,India,5
246,13-06-2020,India,6
247,13-06-2020,India,0
248,13-06-2020,India,1214
249,13-06-2020,India,0
250,13-06-2020,India,1415
251,13-06-2020,India,70
252,13-06-2020,India,6
253,13-06-2020,India,53
254,13-06-2020,India,8
255,13-06-2020,India,79
256,13-06-2020,India,19
257,13-06-2020,India,1
258,13-06-2020,India,440
259,13-06-2020,India,3717
260,13-06-2020,India,0
261,13-06-2020,India,1
262,13-06-2020,India,0
263,13-06-2020,India,0
264,13-06-2020,India,10
265,13-06-2020,India,2
266,13-06-2020,India,63
267,13-06-2020,India,272
268,13-06-2020,India,0
269,13-06-2020,India,367
270,13-06-2020,India,174
271,13-06-2020,India,1
272,13-06-2020,India,0
273,13-06-2020,India,365
274,13-06-2020,India,21
275,13-06-2020,India,451
276,14-06-2020,India,0
277,14-06-2020,India,82
278,14-06-2020,India,0
279,14-06-2020,India,8
280,14-06-2020,India,39
281,14-06-2020,India,5
282,14-06-2020,India,6
283,14-06-2020,India,0
284,14-06-2020,India,1271
285,14-06-2020,India,0
286,14-06-2020,India,1448
287,14-06-2020,India,78
288,14-06-2020,India,6
289,14-06-2020,India,55
290,14-06-2020,India,8
291,14-06-2020,India,81
292,14-06-2020,India,19
293,14-06-2020,India,1
294,14-06-2020,India,447
295,14-06-2020,India,3830
296,14-06-2020,India,0
297,14-06-2020,India,1
298,14-06-2020,India,0
299,14-06-2020,India,0
300,14-06-2020,India,10
301,14-06-2020,India,2
302,14-06-2020,India,65
303,14-06-2020,India,282
304,14-06-2020,India,0
305,14-06-2020,India,397
306,14-06-2020,India,182
307,14-06-2020,India,1
308,14-06-2020,India,0
309,14-06-2020,India,385
310,14-06-2020,India,23
311,14-06-2020,India,463
312,15-06-2020,India,0
313,15-06-2020,India,88
314,15-06-2020,India,0
315,15-06-2020,India,8
316,15-06-2020,India,40
317,15-06-2020,India,6
318,15-06-2020,India,8
319,15-06-2020,India,0
320,15-06-2020,India,1400
321,15-06-2020,India,0
322,15-06-2020,India,1505
323,15-06-2020,India,100
324,15-06-2020,India,8
325,15-06-2020,India,62
326,15-06-2020,India,8
327,15-06-2020,India,89
328,15-06-2020,India,20
329,15-06-2020,India,1
330,15-06-2020,India,465
331,15-06-2020,India,4128
332,15-06-2020,India,0
333,15-06-2020,India,1
334,15-06-2020,India,0
335,15-06-2020,India,0
336,15-06-2020,India,11
337,15-06-2020,India,5
338,15-06-2020,India,71
339,15-06-2020,India,301
340,15-06-2020,India,0
341,15-06-2020,India,479
342,15-06-2020,India,187
343,15-06-2020,India,1
344,15-06-2020,India,0
345,15-06-2020,India,399
346,15-06-2020,India,24
347,15-06-2020,India,485
348,16-06-2020,India,0
349,16-06-2020,India,88
350,16-06-2020,India,0
351,16-06-2020,India,8
352,16-06-2020,India,41
353,16-06-2020,India,6
354,16-06-2020,India,9
355,16-06-2020,India,0
356,16-06-2020,India,1837
357,16-06-2020,India,0
358,16-06-2020,India,1533
359,16-06-2020,India,118
360,16-06-2020,India,8
361,16-06-2020,India,63
362,16-06-2020,India,9
363,16-06-2020,India,94
364,16-06-2020,India,20
365,16-06-2020,India,1
366,16-06-2020,India,476
367,16-06-2020,India,5537
368,16-06-2020,India,0
369,16-06-2020,India,1
370,16-06-2020,India,0
371,16-06-2020,India,0
372,16-06-2020,India,11
373,16-06-2020,India,6
374,16-06-2020,India,72
375,16-06-2020,India,308
376,16-06-2020,India,0
377,16-06-2020,India,528
378,16-06-2020,India,191
379,16-06-2020,India,1
380,16-06-2020,India,0
381,16-06-2020,India,417
382,16-06-2020,India,25
383,16-06-2020,India,495
384,17-06-2020,India,0
385,17-06-2020,India,90
386,17-06-2020,India,0
387,17-06-2020,India,8
388,17-06-2020,India,44
389,17-06-2020,India,6
390,17-06-2020,India,10
391,17-06-2020,India,0
392,17-06-2020,India,1904
393,17-06-2020,India,0
394,17-06-2020,India,1560
395,17-06-2020,India,130
396,17-06-2020,India,8
397,17-06-2020,India,65
398,17-06-2020,India,10
399,17-06-2020,India,102
400,17-06-2020,India,20
401,17-06-2020,India,1
402,17-06-2020,India,482
403,17-06-2020,India,5651
404,17-06-2020,India,0
405,17-06-2020,India,1
406,17-06-2020,India,0
407,17-06-2020,India,0
408,17-06-2020,India,11
409,17-06-2020,India,7
